iter= 1700, img_loss=0.284780, reg_loss=0.052161, lr=0.00000, time=1249.6 ms, rem=1.15 h
iter= 1710, img_loss=0.304937, reg_loss=0.054082, lr=0.00000, time=1282.2 ms, rem=1.17 h
iter= 1720, img_loss=0.288734, reg_loss=0.052464, lr=0.00000, time=1255.1 ms, rem=1.14 h
iter= 1730, img_loss=0.307930, reg_loss=0.054286, lr=0.00000, time=1286.7 ms, rem=1.17 h
iter= 1740, img_loss=0.292968, reg_loss=0.052528, lr=0.00000, time=1254.6 ms, rem=1.14 h
iter= 1750, img_loss=0.305586, reg_loss=0.054332, lr=0.00000, time=1285.8 ms, rem=1.16 h
iter= 1760, img_loss=0.309413, reg_loss=0.054719, lr=0.00000, time=1291.0 ms, rem=1.16 h
iter= 1770, img_loss=0.303801, reg_loss=0.054305, lr=0.00000, time=1287.1 ms, rem=1.15 h
iter= 1780, img_loss=0.315206, reg_loss=0.056379, lr=0.00000, time=1322.5 ms, rem=1.18 h
iter= 1790, img_loss=0.320902, reg_loss=0.056676, lr=0.00000, time=1324.5 ms, rem=1.18 h
iter= 1800, img_loss=0.320451, reg_loss=0.056051, lr=0.00000, time=1315.9 ms, rem=1.17 h
iter= 1810, img_loss=0.307410, reg_loss=0.054413, lr=0.00000, time=1285.3 ms, rem=1.14 h
iter= 1820, img_loss=0.308757, reg_loss=0.055118, lr=0.00000, time=1300.1 ms, rem=1.15 h
iter= 1830, img_loss=0.317663, reg_loss=0.056240, lr=0.00000, time=1320.4 ms, rem=1.16 h
iter= 1840, img_loss=0.298440, reg_loss=0.052860, lr=0.00000, time=1260.2 ms, rem=1.11 h
iter= 1850, img_loss=0.311746, reg_loss=0.054526, lr=0.00000, time=1290.4 ms, rem=1.13 h
iter= 1860, img_loss=0.324551, reg_loss=0.056760, lr=0.00000, time=1327.9 ms, rem=1.16 h
iter= 1870, img_loss=0.294404, reg_loss=0.052912, lr=0.00000, time=1260.9 ms, rem=1.10 h
iter= 1880, img_loss=0.308825, reg_loss=0.054454, lr=0.00000, time=1290.0 ms, rem=1.12 h
iter= 1890, img_loss=0.305519, reg_loss=0.054381, lr=0.00000, time=1287.0 ms, rem=1.11 h
iter= 1900, img_loss=0.316734, reg_loss=0.055560, lr=0.00000, time=1307.1 ms, rem=1.13 h
iter= 1910, img_loss=0.295466, reg_loss=0.053026, lr=0.00000, time=1264.5 ms, rem=1.09 h
iter= 1920, img_loss=0.318071, reg_loss=0.056285, lr=0.00000, time=1320.1 ms, rem=1.13 h
iter= 1930, img_loss=0.324677, reg_loss=0.056861, lr=0.00000, time=1327.3 ms, rem=1.13 h
iter= 1940, img_loss=0.327034, reg_loss=0.057313, lr=0.00000, time=1337.2 ms, rem=1.14 h
iter= 1950, img_loss=0.307696, reg_loss=0.054727, lr=0.00000, time=1295.1 ms, rem=1.10 h
iter= 1960, img_loss=0.282215, reg_loss=0.051236, lr=0.00000, time=1230.8 ms, rem=1.04 h
iter= 1970, img_loss=0.292248, reg_loss=0.051925, lr=0.00000, time=1243.8 ms, rem=1.05 h
iter= 1980, img_loss=0.289512, reg_loss=0.052788, lr=0.00000, time=1261.6 ms, rem=1.06 h
iter= 1990, img_loss=0.316296, reg_loss=0.055699, lr=0.00000, time=1307.0 ms, rem=1.09 h
iter= 2000, img_loss=0.318156, reg_loss=0.055163, lr=0.00000, time=1301.9 ms, rem=1.08 h
iter= 2010, img_loss=0.306401, reg_loss=0.054814, lr=0.00000, time=1294.1 ms, rem=1.07 h
iter= 2020, img_loss=0.323492, reg_loss=0.055904, lr=0.00000, time=1312.8 ms, rem=1.09 h
iter= 2030, img_loss=0.290662, reg_loss=0.051828, lr=0.00000, time=1243.5 ms, rem=1.03 h
iter= 2040, img_loss=0.318594, reg_loss=0.055994, lr=0.00000, time=1314.7 ms, rem=1.08 h
iter= 2050, img_loss=0.313842, reg_loss=0.056117, lr=0.00000, time=1316.4 ms, rem=1.08 h
iter= 2060, img_loss=0.292275, reg_loss=0.052700, lr=0.00000, time=1257.8 ms, rem=1.03 h
iter= 2070, img_loss=0.294347, reg_loss=0.052793, lr=0.00000, time=1257.9 ms, rem=1.02 h
iter= 2080, img_loss=0.278139, reg_loss=0.051247, lr=0.00000, time=1234.0 ms, rem=1.00 h
iter= 2090, img_loss=0.280606, reg_loss=0.050484, lr=0.00000, time=1218.4 ms, rem=59.09 m
iter= 2100, img_loss=0.329909, reg_loss=0.057706, lr=0.00000, time=1346.1 ms, rem=1.08 h
iter= 2110, img_loss=0.298713, reg_loss=0.053066, lr=0.00000, time=1262.7 ms, rem=1.01 h
iter= 2120, img_loss=0.300016, reg_loss=0.053037, lr=0.00000, time=1262.5 ms, rem=1.01 h
iter= 2130, img_loss=0.307114, reg_loss=0.054219, lr=0.00000, time=1283.4 ms, rem=1.02 h
iter= 2140, img_loss=0.287714, reg_loss=0.051583, lr=0.00000, time=1237.3 ms, rem=58.98 m
iter= 2150, img_loss=0.343478, reg_loss=0.059550, lr=0.00000, time=1375.8 ms, rem=1.09 h
iter= 2160, img_loss=0.332462, reg_loss=0.058112, lr=0.00000, time=1349.7 ms, rem=1.06 h
