iter= 1680, img_loss=0.144354, reg_loss=0.046122, lr=0.00000, time=1170.7 ms, rem=1.08 h
iter= 1690, img_loss=0.137267, reg_loss=0.047446, lr=0.00000, time=1192.5 ms, rem=1.10 h
iter= 1700, img_loss=0.136504, reg_loss=0.045416, lr=0.00000, time=1156.6 ms, rem=1.06 h
iter= 1710, img_loss=0.140714, reg_loss=0.046018, lr=0.00000, time=1167.9 ms, rem=1.07 h
iter= 1720, img_loss=0.140751, reg_loss=0.046505, lr=0.00000, time=1176.5 ms, rem=1.07 h
iter= 1730, img_loss=0.144526, reg_loss=0.046624, lr=0.00000, time=1178.9 ms, rem=1.07 h
iter= 1740, img_loss=0.145209, reg_loss=0.047405, lr=0.00000, time=1191.5 ms, rem=1.08 h
iter= 1750, img_loss=0.140892, reg_loss=0.046344, lr=0.00000, time=1175.0 ms, rem=1.06 h
iter= 1760, img_loss=0.146994, reg_loss=0.047473, lr=0.00000, time=1194.4 ms, rem=1.07 h
iter= 1770, img_loss=0.140632, reg_loss=0.045616, lr=0.00000, time=1160.9 ms, rem=1.04 h
iter= 1780, img_loss=0.141001, reg_loss=0.045976, lr=0.00000, time=1166.9 ms, rem=1.04 h
iter= 1790, img_loss=0.139854, reg_loss=0.044822, lr=0.00000, time=1147.2 ms, rem=1.02 h
iter= 1800, img_loss=0.138319, reg_loss=0.046635, lr=0.00000, time=1178.1 ms, rem=1.05 h
iter= 1810, img_loss=0.140926, reg_loss=0.046083, lr=0.00000, time=1170.4 ms, rem=1.04 h
iter= 1820, img_loss=0.138128, reg_loss=0.045369, lr=0.00000, time=1157.0 ms, rem=1.02 h
iter= 1830, img_loss=0.145334, reg_loss=0.046587, lr=0.00000, time=1178.8 ms, rem=1.04 h
iter= 1840, img_loss=0.137850, reg_loss=0.045256, lr=0.00000, time=1154.4 ms, rem=1.01 h
iter= 1850, img_loss=0.138348, reg_loss=0.045947, lr=0.00000, time=1168.3 ms, rem=1.02 h
iter= 1860, img_loss=0.136591, reg_loss=0.044922, lr=0.00000, time=1146.6 ms, rem=1.00 h
iter= 1870, img_loss=0.139382, reg_loss=0.046135, lr=0.00000, time=1171.0 ms, rem=1.02 h
iter= 1880, img_loss=0.143652, reg_loss=0.046603, lr=0.00000, time=1179.2 ms, rem=1.02 h
iter= 1890, img_loss=0.139516, reg_loss=0.047081, lr=0.00000, time=1187.2 ms, rem=1.03 h
iter= 1900, img_loss=0.137592, reg_loss=0.045422, lr=0.00000, time=1156.2 ms, rem=59.74 m
iter= 1910, img_loss=0.139150, reg_loss=0.047036, lr=0.00000, time=1185.0 ms, rem=1.02 h
iter= 1920, img_loss=0.140371, reg_loss=0.046209, lr=0.00000, time=1169.9 ms, rem=1.00 h
iter= 1930, img_loss=0.140560, reg_loss=0.045387, lr=0.00000, time=1156.0 ms, rem=59.15 m
iter= 1940, img_loss=0.144663, reg_loss=0.045731, lr=0.00000, time=1167.8 ms, rem=59.56 m
iter= 1950, img_loss=0.141738, reg_loss=0.045013, lr=0.00000, time=1153.8 ms, rem=58.65 m
iter= 1960, img_loss=0.140984, reg_loss=0.046002, lr=0.00000, time=1169.5 ms, rem=59.25 m
iter= 1970, img_loss=0.128808, reg_loss=0.045658, lr=0.00000, time=1161.0 ms, rem=58.63 m
iter= 1980, img_loss=0.147199, reg_loss=0.046492, lr=0.00000, time=1176.8 ms, rem=59.23 m
iter= 1990, img_loss=0.134798, reg_loss=0.045099, lr=0.00000, time=1152.6 ms, rem=57.82 m
iter= 2000, img_loss=0.146646, reg_loss=0.046611, lr=0.00000, time=1180.1 ms, rem=59.01 m
iter= 2010, img_loss=0.140055, reg_loss=0.046912, lr=0.00000, time=1182.1 ms, rem=58.91 m
iter= 2020, img_loss=0.138821, reg_loss=0.045938, lr=0.00000, time=1166.8 ms, rem=57.95 m
iter= 2030, img_loss=0.139372, reg_loss=0.045226, lr=0.00000, time=1154.0 ms, rem=57.12 m
iter= 2040, img_loss=0.143579, reg_loss=0.046112, lr=0.00000, time=1171.0 ms, rem=57.77 m
iter= 2050, img_loss=0.143722, reg_loss=0.046528, lr=0.00000, time=1178.3 ms, rem=57.93 m
iter= 2060, img_loss=0.137006, reg_loss=0.044707, lr=0.00000, time=1143.5 ms, rem=56.03 m
iter= 2070, img_loss=0.141694, reg_loss=0.046078, lr=0.00000, time=1170.1 ms, rem=57.14 m
iter= 2080, img_loss=0.141170, reg_loss=0.046055, lr=0.00000, time=1170.0 ms, rem=56.94 m
iter= 2090, img_loss=0.136419, reg_loss=0.045876, lr=0.00000, time=1163.7 ms, rem=56.44 m
iter= 2100, img_loss=0.136311, reg_loss=0.045997, lr=0.00000, time=1165.7 ms, rem=56.34 m
iter= 2110, img_loss=0.141337, reg_loss=0.045552, lr=0.00000, time=1159.3 ms, rem=55.84 m
iter= 2120, img_loss=0.139537, reg_loss=0.046154, lr=0.00000, time=1169.7 ms, rem=56.15 m
iter= 2130, img_loss=0.142381, reg_loss=0.045385, lr=0.00000, time=1159.5 ms, rem=55.46 m
iter= 2140, img_loss=0.136241, reg_loss=0.046660, lr=0.00000, time=1179.8 ms, rem=56.24 m
iter= 2150, img_loss=0.143088, reg_loss=0.046762, lr=0.00000, time=1181.7 ms, rem=56.13 m
iter= 2160, img_loss=0.139756, reg_loss=0.046426, lr=0.00000, time=1173.4 ms, rem=55.54 m
iter= 2170, img_loss=0.136130, reg_loss=0.045845, lr=0.00000, time=1164.3 ms, rem=54.91 m
iter= 2180, img_loss=0.138714, reg_loss=0.046179, lr=0.00000, time=1168.7 ms, rem=54.93 m
iter= 2190, img_loss=0.137967, reg_loss=0.046009, lr=0.00000, time=1167.0 ms, rem=54.65 m
iter= 2200, img_loss=0.142542, reg_loss=0.045609, lr=0.00000, time=1161.5 ms, rem=54.20 m
iter= 2210, img_loss=0.135185, reg_loss=0.044668, lr=0.00000, time=1142.8 ms, rem=53.14 m
iter= 2220, img_loss=0.137335, reg_loss=0.046862, lr=0.00000, time=1183.1 ms, rem=54.81 m
iter= 2230, img_loss=0.140596, reg_loss=0.046237, lr=0.00000, time=1170.8 ms, rem=54.05 m
iter= 2240, img_loss=0.140297, reg_loss=0.046349, lr=0.00000, time=1174.2 ms, rem=54.01 m
iter= 2250, img_loss=0.145743, reg_loss=0.045930, lr=0.00000, time=1167.0 ms, rem=53.49 m
iter= 2260, img_loss=0.147879, reg_loss=0.046574, lr=0.00000, time=1181.1 ms, rem=53.94 m
iter= 2270, img_loss=0.142138, reg_loss=0.046033, lr=0.00000, time=1167.0 ms, rem=53.10 m
iter= 2280, img_loss=0.141732, reg_loss=0.046586, lr=0.00000, time=1178.0 ms, rem=53.40 m
iter= 2290, img_loss=0.141976, reg_loss=0.046521, lr=0.00000, time=1176.7 ms, rem=53.15 m
